,current,previous,points,trend,id,uid,guid,firstName,lastName,displayName,shortname,links,country,countryFlag,picture,age,active,birthPlace,citizenshipCountry
0,1,1,9985,-,261,s:850~a:261,f091e8bf-f001-4687-0448-4b009dd966e8,Rafael,Nadal,Rafael Nadal,,https://www.espn.com/tennis/player/_/id/261/rafael-nadal,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/261.png,38,True,"Manacor, Mallorca, Spain",ESP
1,2,2,9145,-,296,s:850~a:296,4a27bb1c-2422-55c3-208b-9e9d8c1f30af,Novak,Djokovic,Novak Djokovic,,https://www.espn.com/tennis/player/_/id/296/novak-djokovic,Serbia,https://a.espncdn.com/i/teamlogos/countries/500/ser.png,https://a.espncdn.com/i/headshots/tennis/players/full/296.png,37,True,"Belgrade, Serbia",SER
2,3,3,6590,-,425,s:850~a:425,6bf3e1d1-c102-93e9-a4e9-32ba6e82f887,Roger,Federer,Roger Federer,,https://www.espn.com/tennis/player/_/id/425/roger-federer,Switzerland,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,https://a.espncdn.com/i/headshots/tennis/players/full/425.png,43,,"Basel, Switzerland",SUI
3,4,5,5825,+1,1852,s:850~a:1852,7c04f23c-ca9b-1662-17bf-d4d0bd5d3b6a,Dominic,Thiem,Dominic Thiem,,https://www.espn.com/tennis/player/_/id/1852/dominic-thiem,Austria,https://a.espncdn.com/i/teamlogos/countries/500/aut.png,https://a.espncdn.com/i/headshots/tennis/players/full/1852.png,31,True,"Wiener Neustadt, Austria",AUT
4,5,4,5705,-1,2383,s:850~a:2383,469710ae-79d9-770e-e3b7-d71e5148642c,Daniil,Medvedev,Daniil Medvedev,,https://www.espn.com/tennis/player/_/id/2383/daniil-medvedev,Russia,https://a.espncdn.com/i/teamlogos/countries/500/rus.png,https://a.espncdn.com/i/headshots/tennis/players/full/2383.png,28,True,"Moscow, Russia",RUS
5,6,6,5300,-,2869,s:850~a:2869,eeae43af-cdf0-43b4-7dd4-2475555a445e,Stefanos,Tsitsipas,Stefanos Tsitsipas,,https://www.espn.com/tennis/player/_/id/2869/stefanos-tsitsipas,Greece,https://a.espncdn.com/i/teamlogos/countries/500/gre.png,https://a.espncdn.com/i/headshots/tennis/players/full/2869.png,26,True,"Athens, Greece",GRE
6,7,7,3345,-,2375,s:850~a:2375,fd06b6ea-593b-d5b3-da2b-767ec3e4232c,Alexander,Zverev,Alexander Zverev,,https://www.espn.com/tennis/player/_/id/2375/alexander-zverev,Germany,https://a.espncdn.com/i/teamlogos/countries/500/ger.png,https://a.espncdn.com/i/headshots/tennis/players/full/2375.png,27,True,"Hamburg, Germany",GER
7,8,8,2870,-,2622,s:850~a:2622,874554f7-7862-cfa9-36d5-5ef4d437f407,Matteo,Berrettini,Matteo Berrettini,,https://www.espn.com/tennis/player/_/id/2622/matteo-berrettini,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,https://a.espncdn.com/i/headshots/tennis/players/full/2622.png,28,True,"Rome, Italy",ITA
8,9,9,2540,-,1733,s:850~a:1733,736f6af6-506c-e64f-9d0f-8f1138a5babf,Roberto,Bautista Agut,Roberto Bautista Agut,,https://www.espn.com/tennis/player/_/id/1733/roberto-bautista-agut,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/1733.png,36,True,"Castellon de la Plana, Spain",ESP
9,10,10,2530,-,242,s:850~a:242,2262b9be-52a3-4979-3e0c-722694ff682b,Gael,Monfils,Gael Monfils,,https://www.espn.com/tennis/player/_/id/242/gael-monfils,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/242.png,38,True,"Paris, France",FRA
10,11,11,2335,-,1360,s:850~a:1360,b84324ee-7bc9-cb44-95d0-b4221c8658d4,David,Goffin,David Goffin,,https://www.espn.com/tennis/player/_/id/1360/david-goffin,Belgium,https://a.espncdn.com/i/teamlogos/countries/500/bel.png,https://a.espncdn.com/i/headshots/tennis/players/full/1360.png,34,True,"Rocourt, Belgium",BEL
11,12,12,2290,-,669,s:850~a:669,ae4751a6-c681-57f3-0c9a-8033a2faecea,Fabio,Fognini,Fabio Fognini,,https://www.espn.com/tennis/player/_/id/669/fabio-fognini,Italy,https://a.espncdn.com/i/teamlogos/countries/500/ita.png,https://a.espncdn.com/i/headshots/tennis/players/full/669.png,37,True,"Sanremo, Italy",ITA
12,13,13,2180,-,1035,s:850~a:1035,db1ab961-e027-44d0-b7b2-23a22b5611ce,Kei,Nishikori,Kei Nishikori,,https://www.espn.com/tennis/player/_/id/1035/kei-nishikori,Japan,https://a.espncdn.com/i/teamlogos/countries/500/jpn.png,https://a.espncdn.com/i/headshots/tennis/players/full/1035.png,35,True,"Shimane, Japan",JPN
13,14,14,2125,-,2324,s:850~a:2324,f4241bf7-ca09-b003-20e2-066a60941c9f,Diego,Schwartzman,Diego Schwartzman,,https://www.espn.com/tennis/player/_/id/2324/diego-schwartzman,Argentina,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,https://a.espncdn.com/i/headshots/tennis/players/full/2324.png,32,True,"Buenos Aires, Argentina",ARG
14,15,15,2050,-,2860,s:850~a:2860,2a61af8f-50be-3754-5559-d4fa60f9fb61,Denis,Shapovalov,Denis Shapovalov,,https://www.espn.com/tennis/player/_/id/2860/denis-shapovalov,Canada,https://a.espncdn.com/i/teamlogos/countries/500/can.png,https://a.espncdn.com/i/headshots/tennis/players/full/2860.png,25,True,"Tel Aviv, Israel",CAN
15,16,16,2000,-,264,s:850~a:264,c6eb21e5-8a25-0cb1-fc55-8315888ef262,Stan,Wawrinka,Stan Wawrinka,,https://www.espn.com/tennis/player/_/id/264/stan-wawrinka,Switzerland,https://a.espncdn.com/i/teamlogos/countries/500/sui.png,https://a.espncdn.com/i/headshots/tennis/players/full/264.png,39,True,"Lausanne, Switzerland",SUI
16,17,17,1840,-,2367,s:850~a:2367,aae45cb6-e828-7434-5515-9c6d810ea14a,Karen,Khachanov,Karen Khachanov,,https://www.espn.com/tennis/player/_/id/2367/karen-khachanov,Russia,https://a.espncdn.com/i/teamlogos/countries/500/rus.png,https://a.espncdn.com/i/headshots/tennis/players/full/2367.png,28,True,"Moscow, Russia",RUS
17,18,18,1775,-,2651,s:850~a:2651,b44d8a17-3923-7f78-455a-9c7ca03388f4,Alex,De Minaur,Alex De Minaur,,https://www.espn.com/tennis/player/_/id/2651/alex-de-minaur,Australia,https://a.espncdn.com/i/teamlogos/countries/500/aus.png,https://a.espncdn.com/i/headshots/tennis/players/full/2651.png,25,True,"Sydney, Australia",AUS
18,19,19,1770,-,1023,s:850~a:1023,d026d5b8-9ac5-c0a9-f56c-f1b98531218d,John,Isner,John Isner,,https://www.espn.com/tennis/player/_/id/1023/john-isner,USA,https://a.espncdn.com/i/teamlogos/countries/500/usa.png,https://a.espncdn.com/i/headshots/tennis/players/full/1023.png,39,True,"Greensboro, NC, USA",USA
19,20,20,1747,-,1287,s:850~a:1287,16641195-ec8b-a983-e046-3f768b99ff28,Grigor,Dimitrov,Grigor Dimitrov,,https://www.espn.com/tennis/player/_/id/1287/grigor-dimitrov,Bulgaria,https://a.espncdn.com/i/teamlogos/countries/500/bul.png,https://a.espncdn.com/i/headshots/tennis/players/full/1287.png,33,True,"Haskovo, Bulgaria",BUL
20,21,21,1636,-,3209,s:850~a:3209,103da403-af60-430e-014c-dc9c904d6b04,Felix,Auger-Aliassime,Felix Auger-Aliassime,,https://www.espn.com/tennis/player/_/id/3209/felix-auger-aliassime,Canada,https://a.espncdn.com/i/teamlogos/countries/500/can.png,https://a.espncdn.com/i/headshots/tennis/players/full/3209.png,24,True,"Montreal, Canada",CAN
21,22,22,1600,-,2322,s:850~a:2322,7a02e598-b12a-af7b-e25f-35a3a203a98e,Lucas,Pouille,Lucas Pouille,,https://www.espn.com/tennis/player/_/id/2322/lucas-pouille,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/2322.png,30,True,"Grande-Synthe, France",FRA
22,23,23,1584,-,2642,s:850~a:2642,9a0b09b5-59b7-1cf1-4135-e1cc55e3280b,Andrey,Rublev,Andrey Rublev,,https://www.espn.com/tennis/player/_/id/2642/andrey-rublev,Russia,https://a.espncdn.com/i/teamlogos/countries/500/rus.png,https://a.espncdn.com/i/headshots/tennis/players/full/2642.png,27,True,"Moscow, Russia",RUS
23,24,24,1538,-,1571,s:850~a:1571,06f0264d-1de2-6bf4-ecbd-e4c80908f41b,Benoit,Paire,Benoit Paire,,https://www.espn.com/tennis/player/_/id/1571/benoit-paire,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/1571.png,35,True,"Avignon, France",FRA
24,25,25,1530,-,2291,s:850~a:2291,2e2dc3ed-f285-bae4-a612-e38e69c6c47a,Guido,Pella,Guido Pella,,https://www.espn.com/tennis/player/_/id/2291/guido-pella,Argentina,https://a.espncdn.com/i/teamlogos/countries/500/arg.png,https://a.espncdn.com/i/headshots/tennis/players/full/2291.png,34,True,"Bahia Blanca, Argentina",ARG
25,26,26,1450,-,2498,s:850~a:2498,5dc21899-ba8c-2090-ba30-c0169a979977,Nikoloz,Basilashvili,Nikoloz Basilashvili,,https://www.espn.com/tennis/player/_/id/2498/nikoloz-basilashvili,Georgia,https://a.espncdn.com/i/teamlogos/countries/500/geo.png,https://a.espncdn.com/i/headshots/tennis/players/full/2498.png,32,True,"Tbilisi, Georgia",GEO
26,27,27,1422,-,1590,s:850~a:1590,7ba77580-4f3a-73fd-66f7-7354306769dd,Pablo,Carreno Busta,Pablo Carreno Busta,,https://www.espn.com/tennis/player/_/id/1590/pablo-carreno-busta,Spain,https://a.espncdn.com/i/teamlogos/countries/500/esp.png,https://a.espncdn.com/i/headshots/tennis/players/full/1590.png,33,True,"Gijon, Spain",ESP
27,28,28,1415,-,2202,s:850~a:2202,2f4ba4bb-2820-ad6f-6e14-dba4a7059e64,Borna,Coric,Borna Coric,,https://www.espn.com/tennis/player/_/id/2202/borna-coric,Croatia,https://a.espncdn.com/i/teamlogos/countries/500/cro.png,https://a.espncdn.com/i/headshots/tennis/players/full/2202.png,28,True,"Zagreb, Croatia",CRO
28,29,29,1410,-,435,s:850~a:435,240b2e44-4629-ac19-a14e-d209255fbf4b,Jo-Wilfried,Tsonga,Jo-Wilfried Tsonga,,https://www.espn.com/tennis/player/_/id/435/jo-wilfried-tsonga,France,https://a.espncdn.com/i/teamlogos/countries/500/fra.png,https://a.espncdn.com/i/headshots/tennis/players/full/435.png,39,,"Le Mans, France",FRA
